国家代码,时间,大类项目代码,是否为东道国,某年整个奥林匹克参与人次,某年整个大类参与人次,某年某国某大类参与人次,该大类项目的细分项目event数量,该国该项目运动员金牌获奖频率,该国该项目运动员银牌获奖频率,该国该项目运动员铜牌获奖频率,明星运动员个数,新星运动员个数,平均运动生涯时间,实际当年其国某项目金牌数量,实际当年其国某项目银牌数量,实际当年其国某项目铜牌数量
AUS,1896,TEN,0,373,20,2,2,0.0,0.0,0.0,0,0,0.0,0,0,1
AUS,1896,ATH,0,373,104,3,3,0.0,0.0,0.0,0,0,4.0,2,0,0
GBR,1896,TEN,0,373,20,4,2,0.0,0.0,0.0,0,0,0.0,2,0,1
AUT,1896,SWM,0,373,18,3,3,0.0,0.0,0.0,0,0,0.0,1,1,0
AUT,1896,CTR,0,373,34,4,4,0.0,0.0,0.0,0,0,0.0,1,0,2
AUT,1896,FEN,0,373,15,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
DEN,1896,WLF,0,373,10,2,2,0.0,0.0,0.0,0,0,0.0,1,1,0
DEN,1896,GAR,0,373,96,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
DEN,1896,SHO,0,373,64,7,5,0.0,0.0,0.0,0,0,0.0,0,1,2
DEN,1896,ATH,0,373,104,4,3,0.0,0.0,0.0,0,0,4.0,0,0,0
DEN,1896,FEN,0,373,15,1,1,0.0,0.0,0.0,0,0,0.0,0,0,1
GRE,1896,GAR,0,373,96,12,6,0.0,0.0,0.0,0,0,0.0,2,1,3
FRA,1896,FEN,0,373,15,4,2,0.0,0.0,0.0,0,0,0.0,1,2,0
FRA,1896,ATH,0,373,104,12,9,0.0,0.0,0.0,0,0,0.0,0,1,1
FRA,1896,TEN,0,373,20,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
FRA,1896,CTR,0,373,34,7,4,0.0,0.0,0.0,0,0,0.0,4,1,1
FRA,1896,GAR,0,373,96,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
FRA,1896,SHO,0,373,64,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
GER,1896,GAR,0,373,96,66,8,0.0,0.0,0.0,0,0,0.0,23,3,2
GER,1896,ATH,0,373,104,14,9,0.0,0.0,0.0,0,0,0.0,0,1,0
GER,1896,CRD,0,373,7,1,1,0.0,0.0,0.0,0,0,0.0,0,1,0
GER,1896,CTR,0,373,34,9,5,0.0,0.0,0.0,0,0,0.0,0,0,0
GER,1896,WLF,0,373,10,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
GER,1896,WRG,0,373,5,1,1,0.0,0.0,0.0,0,0,0.0,1,0,0
GER,1896,TEN,0,373,20,2,2,0.0,0.0,0.0,0,0,0.0,1,0,0
GBR,1896,CRD,0,373,7,1,1,0.0,0.0,0.0,0,0,0.0,0,0,1
GBR,1896,CTR,0,373,34,4,3,0.0,0.0,0.0,0,0,0.0,0,1,0
GBR,1896,ATH,0,373,104,6,5,0.0,0.0,0.0,0,0,0.0,0,1,1
GBR,1896,WLF,0,373,10,2,2,0.0,0.0,0.0,0,0,0.0,1,1,0
GBR,1896,WRG,0,373,5,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
GBR,1896,GAR,0,373,96,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
GBR,1896,SHO,0,373,64,5,4,0.0,0.0,0.0,0,0,0.0,0,0,0
GRE,1896,TEN,1,373,20,10,2,0.0,0.0,0.0,0,0,10.0,0,3,1
GRE,1896,ATH,1,373,104,35,10,0.0,0.0,0.0,0,0,0.0,1,3,6
GRE,1896,SWM,1,373,18,11,4,0.0,0.0,0.0,0,0,0.0,1,3,2
GRE,1896,SHO,1,373,64,45,5,0.0,0.0,0.0,0,0,0.0,3,3,3
GRE,1896,CRD,1,373,7,5,1,0.0,0.0,0.0,0,0,0.0,1,0,0
GRE,1896,FEN,1,373,15,9,3,0.0,0.0,0.0,0,0,0.0,2,1,2
GRE,1896,WRG,1,373,5,2,1,0.0,0.0,0.0,0,0,0.0,0,1,1
GRE,1896,CTR,1,373,34,10,5,0.0,0.0,0.0,0,0,0.0,0,3,0
GRE,1896,WLF,1,373,10,4,2,0.0,0.0,0.0,0,0,0.0,0,0,2
HUN,1896,ATH,0,373,104,5,5,0.0,0.0,0.0,0,0,0.0,0,1,2
HUN,1896,SWM,0,373,18,2,2,0.0,0.0,0.0,0,0,0.0,2,0,0
HUN,1896,GAR,0,373,96,8,4,0.0,0.0,0.0,0,0,0.0,0,0,0
HUN,1896,TEN,0,373,20,1,1,0.0,0.0,0.0,0,0,0.0,0,0,1
HUN,1896,WLF,0,373,10,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
HUN,1896,WRG,0,373,5,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ITA,1896,SHO,0,373,64,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
SWE,1896,ATH,0,373,104,4,4,0.0,0.0,0.0,0,0,4.0,0,0,0
SWE,1896,GAR,0,373,96,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
SUI,1896,SHO,0,373,64,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
SUI,1896,GAR,0,373,96,6,4,0.0,0.0,0.0,0,0,0.0,1,2,0
USA,1896,ATH,0,373,104,21,11,0.0,0.0,0.0,0,0,0.0,9,6,2
USA,1896,SHO,0,373,64,4,3,0.0,0.0,0.0,0,0,0.0,2,1,0
USA,1896,SWM,0,373,18,2,2,0.0,0.0,0.0,0,0,0.0,0,0,0
MEX,1900,POL,0,1637,15,3,1,0.0,0.0,0.0,0,0,0.0,0,0,3
USA,1900,POL,0,1637,15,3,1,0.0,0.0,0.0,0,0,0.0,2,1,1
FRA,1900,SAL,0,1637,202,171,8,0.0,0.0,0.0,0,0,0.0,10,33,29
GBR,1900,ATH,0,1637,227,17,10,0.0,0.3333333333333333,0.3333333333333333,0,0,4.0,7,3,2
AUS,1900,ATH,0,1637,227,4,4,1.0,0.0,0.0,0,0,4.0,1,0,3
ARG,1900,FEN,0,1637,287,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
GER,1900,SAL,0,1637,202,6,3,0.0,0.0,0.0,0,0,0.0,4,4,0
