时间,国家代码,大类项目代码,是否为东道国,某年整个奥林匹克参与人次,某年整个大类参与人次,某年某国某大类参与人次,该大类项目的细分项目event数量,该国该项目运动员金牌获奖频率,该国该项目运动员银牌获奖频率,该国该项目运动员铜牌获奖频率,明星运动员个数,新星运动员个数,平均运动生涯时间,实际当年其国某项目金牌数量,实际当年其国某项目银牌数量,实际当年其国某项目铜牌数量
1896,AUS,ATH,0,380,106,3,12,0.02511415525114155,0.045662100456621,0.03881278538812785,0,20,0.0,2,0,0
1896,AUS,TEN,0,380,23,2,2,0.02564102564102564,0.01282051282051282,0.07692307692307693,0,3,0.0,0,0,1
1896,AUT,CTR,0,380,34,4,5,0.014084507042253521,0.0,0.014084507042253521,0,0,0.0,1,0,2
1896,AUT,FEN,0,380,15,1,3,0.005780346820809248,0.04046242774566474,0.028901734104046242,0,0,0.0,0,0,0
1896,AUT,SWM,0,380,18,3,4,0.011627906976744186,0.03488372093023256,0.05232558139534884,0,2,0.0,1,1,0
1896,DEN,ATH,0,380,106,4,12,0.0,0.01762114537444934,0.013215859030837005,0,1,0.0,0,0,0
1896,DEN,FEN,0,380,15,1,3,0.005952380952380952,0.011904761904761904,0.017857142857142856,0,0,0.0,0,0,1
1896,DEN,GAR,0,380,97,1,8,0.09174311926605505,0.2889908256880734,0.12385321100917432,0,4,0.0,0,0,0
1896,DEN,SHO,0,380,65,7,5,0.030434782608695653,0.0391304347826087,0.043478260869565216,0,2,0.0,0,1,2
1896,DEN,WLF,0,380,10,2,2,0.04,0.08,0.0,0,0,0.0,1,1,0
1896,FRA,ATH,0,380,106,12,12,0.010375099760574621,0.03272146847565842,0.04868316041500399,0,16,0.0,0,1,1
1896,FRA,CTR,0,380,34,7,5,0.11834319526627218,0.09467455621301775,0.09467455621301775,0,3,0.0,4,1,1
1896,FRA,FEN,0,380,15,4,3,0.16339869281045752,0.13594771241830064,0.11503267973856209,0,8,0.0,1,2,0
1896,FRA,GAR,0,380,97,1,8,0.0044603033006244425,0.026761819803746655,0.03300624442462088,0,31,0.0,0,0,0
1896,FRA,SHO,0,380,65,1,5,0.028199566160520606,0.06073752711496746,0.06290672451193059,0,4,0.0,0,0,0
1896,FRA,TEN,0,380,23,1,2,0.07692307692307693,0.06993006993006994,0.09090909090909091,1,4,0.0,0,0,0
1896,GBR,ATH,0,380,106,7,12,0.04205069124423963,0.08064516129032258,0.0846774193548387,0,17,0.0,0,1,1
1896,GBR,CRD,0,380,7,1,1,0.011673151750972763,0.1245136186770428,0.05058365758754864,0,8,0.0,0,0,1
1896,GBR,CTR,0,380,34,4,5,0.17455621301775148,0.15976331360946747,0.14497041420118342,0,1,0.0,0,1,0
1896,GBR,GAR,0,380,97,1,8,0.006165228113440197,0.0036991368680641184,0.06165228113440197,0,22,0.0,0,0,0
1896,GBR,SHO,0,380,65,5,5,0.08,0.096,0.08266666666666667,0,1,0.0,0,0,0
1896,GBR,TEN,0,380,23,4,2,0.16176470588235295,0.14705882352941177,0.125,2,2,0.0,2,0,1
1896,GBR,WLF,0,380,10,2,2,0.0078125,0.03125,0.03125,0,0,0.0,1,1,0
1896,GBR,WRG,0,380,5,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
1896,GER,ATH,0,380,106,14,12,0.024888888888888887,0.057777777777777775,0.059555555555555556,0,16,0.0,0,1,0
1896,GER,CRD,0,380,7,1,1,0.02824858757062147,0.062146892655367235,0.03389830508474576,0,8,0.0,0,1,0
1896,GER,CTR,0,380,34,9,5,0.14678899082568808,0.10550458715596331,0.11009174311926606,0,4,0.0,0,0,0
1896,GER,GAR,0,380,97,66,8,0.06315789473684211,0.019736842105263157,0.042105263157894736,0,33,0.0,23,3,2
1896,GER,TEN,0,380,23,2,2,0.07936507936507936,0.1111111111111111,0.047619047619047616,1,0,0.0,1,0,0
1896,GER,WLF,0,380,10,1,2,0.0625,0.07291666666666667,0.125,0,0,0.0,0,0,0
1896,GER,WRG,0,380,5,1,1,0.042105263157894736,0.1368421052631579,0.11578947368421053,0,0,0.0,1,0,0
1896,GRE,ATH,0,380,106,36,12,0.020366598778004074,0.026476578411405296,0.03054989816700611,0,3,0.0,1,3,6
1896,GRE,CRD,0,380,7,5,1,0.04,0.0,0.0,0,0,0.0,1,0,0
1896,GRE,CTR,0,380,34,10,5,0.0,0.0425531914893617,0.0,0,0,0.0,0,3,0
1896,GRE,FEN,0,380,15,9,3,0.02912621359223301,0.05825242718446602,0.02912621359223301,0,0,0.0,2,1,2
1896,GRE,GAR,0,380,97,12,8,0.04918032786885246,0.01639344262295082,0.04918032786885246,0,2,0.0,2,1,3
1896,GRE,SHO,0,380,65,46,5,0.020905923344947737,0.03832752613240418,0.027874564459930314,0,2,0.0,3,3,3
1896,GRE,SWM,0,380,18,11,4,0.004784688995215311,0.023923444976076555,0.009569377990430622,0,6,0.0,1,3,2
1896,GRE,TEN,0,380,23,13,2,0.02,0.08,0.08,0,0,0.0,0,3,1
1896,GRE,WLF,0,380,10,4,2,0.08860759493670886,0.05063291139240506,0.05063291139240506,0,0,0.0,0,0,2
1896,GRE,WRG,0,380,5,2,1,0.011904761904761904,0.03571428571428571,0.05952380952380952,0,0,0.0,0,1,1
1896,HUN,ATH,0,380,106,5,12,0.018302828618968387,0.026622296173044926,0.04326123128119801,0,2,0.0,0,1,2
1896,HUN,GAR,0,380,97,8,8,0.026243093922651933,0.062154696132596686,0.06077348066298342,0,10,0.0,0,0,0
1896,HUN,SWM,0,380,18,2,4,0.05779334500875657,0.05253940455341506,0.04553415061295972,0,7,0.0,2,0,0
1896,HUN,TEN,0,380,23,1,2,0.0,0.0,0.021739130434782608,0,1,0.0,0,0,1
1896,HUN,WLF,0,380,10,1,2,0.021505376344086023,0.0967741935483871,0.0967741935483871,0,0,0.0,0,0,0
1896,HUN,WRG,0,380,5,1,1,0.10179640718562874,0.07784431137724551,0.0718562874251497,0,0,0.0,0,0,0
1896,ITA,SHO,0,380,65,1,5,0.05396825396825397,0.06031746031746032,0.0380952380952381,0,3,0.0,0,0,0
1896,SUI,GAR,0,380,97,7,8,0.040968342644320296,0.07076350093109869,0.04283054003724395,0,10,0.0,1,2,0
1896,SUI,SHO,0,380,65,1,5,0.07834101382488479,0.03686635944700461,0.0967741935483871,0,1,0.0,0,0,0
1896,SWE,ATH,0,380,106,4,12,0.04539559014267185,0.04539559014267185,0.07522697795071336,0,5,0.0,0,0,0
1896,SWE,GAR,0,380,97,1,8,0.2823920265780731,0.029900332225913623,0.0033222591362126247,0,6,0.0,0,0,0
1896,USA,ATH,0,380,106,21,12,0.18731117824773413,0.11513930849278281,0.07989258140315542,0,34,0.0,9,6,2
1896,USA,SHO,0,380,65,4,5,0.19476268412438624,0.06710310965630115,0.06873977086743044,0,3,0.0,2,1,0
1896,USA,SWM,0,380,18,2,4,0.408354114713217,0.18703241895261846,0.11970074812967581,0,12,0.0,0,0,0
1900,ARG,FEN,0,1936,317,1,7,0.0,0.0,0.02564102564102564,0,0,0.06153846153846154,0,0,0
1900,AUS,ATH,0,1936,234,4,23,0.02511415525114155,0.045662100456621,0.03881278538812785,0,20,0.0,1,0,3
1900,AUS,SWM,0,1936,131,2,7,0.1328600405679513,0.16937119675456389,0.15720081135902636,0,23,0.0,2,0,0
1900,AUT,ATH,0,1936,234,3,23,0.003875968992248062,0.007751937984496124,0.01937984496124031,0,2,0.0,0,0,0
1900,AUT,EJP,0,1936,79,6,5,0.0,0.10526315789473684,0.0,0,2,0.0,0,0,0
1900,AUT,FEN,0,1936,317,8,7,0.005780346820809248,0.04046242774566474,0.028901734104046242,0,0,0.0,0,0,2
1900,AUT,SWM,0,1936,131,9,7,0.011627906976744186,0.03488372093023256,0.05232558139534884,0,2,0.0,0,3,1
1900,BEL,ARC,0,1936,32,8,8,0.4489795918367347,0.24489795918367346,0.061224489795918366,0,0,0.0,3,3,1
1900,BEL,CTR,0,1936,92,1,3,0.022556390977443608,0.03759398496240601,0.08270676691729323,0,2,0.0,0,0,0
1900,BEL,EJP,0,1936,79,15,5,0.030303030303030304,0.050505050505050504,0.1111111111111111,0,2,0.0,3,1,1
1900,BEL,FBL,0,1936,35,9,1,0.21666666666666667,0.0,0.08333333333333333,0,1,0.0,0,0,9
1900,BEL,FEN,0,1936,317,6,7,0.03418803418803419,0.07264957264957266,0.07264957264957266,0,0,0.03418803418803419,0,0,0
1900,BEL,GAR,0,1936,135,2,1,0.005235602094240838,0.12041884816753927,0.11518324607329843,0,7,0.0,0,0,0
1900,BEL,ROW,0,1936,133,11,4,0.0,0.11538461538461539,0.02564102564102564,0,0,0.038461538461538464,0,9,0
1900,BEL,SHO,0,1936,221,36,8,0.006289308176100629,0.06918238993710692,0.018867924528301886,0,0,0.0,0,1,2
1900,BEL,SWM,0,1936,131,1,7,0.004694835680751174,0.009389671361502348,0.009389671361502348,0,2,0.0,0,0,0
1900,BEL,WPO,0,1936,53,11,1,0.0,0.36363636363636365,0.18181818181818182,0,2,0.0,0,10,0
1900,BOH,ATH,0,1936,234,5,23,0.0,0.041666666666666664,0.0,0,3,0.0,0,1,0
1900,BOH,CTR,0,1936,92,1,3,0.0,0.0,0.0,0,0,0.0,0,0,0
1900,BOH,GAR,0,1936,135,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
1900,BOH,TEN,0,1936,47,2,4,0.0,0.0,0.19047619047619047,0,1,0.0,0,0,2
1900,BRA,ATH,0,1936,234,3,23,0.010638297872340425,0.01702127659574468,0.036170212765957444,0,15,0.02553191489361702,0,0,0
