时间,国家代码,大类项目代码,是否为东道国,某年整个奥林匹克参与人次,某年整个大类参与人次,某年某国某大类参与人次,该大类项目的细分项目event数量,该国该项目运动员金牌获奖频率,该国该项目运动员银牌获奖频率,该国该项目运动员铜牌获奖频率,明星运动员个数,新星运动员个数,平均运动生涯时间,实际当年其国某项目金牌数量,实际当年其国某项目银牌数量,实际当年其国某项目铜牌数量
1896,AUS,ATH,0,380,106,3,3,0.02530120481927711,0.04578313253012048,0.03253012048192771,0,0,0.0,2,0,0
1896,AUS,TEN,0,380,23,2,2,0.029850746268656716,0.014925373134328358,0.08955223880597014,0,0,0.0,0,0,1
1896,AUT,CTR,0,380,34,4,4,0.014705882352941176,0.0,0.014705882352941176,0,0,0.0,1,0,2
1896,AUT,FEN,0,380,15,1,1,0.005813953488372093,0.040697674418604654,0.023255813953488372,0,0,0.0,0,0,0
1896,AUT,SWM,0,380,18,3,3,0.011764705882352941,0.03529411764705882,0.041176470588235294,0,0,0.0,1,1,0
1896,DEN,ATH,0,380,106,4,3,0.0,0.017857142857142856,0.013392857142857142,0,0,0.0,0,0,0
1896,DEN,FEN,0,380,15,1,1,0.005988023952095809,0.011976047904191617,0.017964071856287425,0,0,0.0,0,0,1
1896,DEN,GAR,0,380,97,1,1,0.09852216748768473,0.30049261083743845,0.054187192118226604,0,0,0.0,0,0,0
1896,DEN,SHO,0,380,65,7,5,0.030837004405286344,0.03524229074889868,0.039647577092511016,0,0,0.0,0,1,2
1896,DEN,WLF,0,380,10,2,2,0.043478260869565216,0.043478260869565216,0.0,0,0,0.0,1,1,0
1896,FRA,ATH,0,380,106,12,9,0.01077943615257048,0.03233830845771144,0.04975124378109453,0,0,0.0,0,1,1
1896,FRA,CTR,0,380,34,7,4,0.11890243902439024,0.08841463414634146,0.09146341463414634,0,0,0.0,4,1,1
1896,FRA,FEN,0,380,15,4,2,0.16711590296495957,0.11859838274932614,0.09838274932614555,0,0,0.0,1,2,0
1896,FRA,GAR,0,380,97,1,1,0.004887585532746823,0.013685239491691105,0.03225806451612903,0,0,0.0,0,0,0
1896,FRA,SHO,0,380,65,1,1,0.028888888888888888,0.057777777777777775,0.05555555555555555,0,0,0.0,0,0,0
1896,FRA,TEN,0,380,23,1,1,0.08396946564885496,0.07633587786259542,0.08396946564885496,0,0,0.0,0,0,0
1896,GBR,ATH,0,380,106,7,5,0.0425531914893617,0.07328605200945626,0.07092198581560284,0,0,0.0,0,1,1
1896,GBR,CRD,0,380,7,1,1,0.013157894736842105,0.10526315789473684,0.02631578947368421,0,0,0.0,0,0,1
1896,GBR,CTR,0,380,34,4,3,0.17133956386292834,0.14953271028037382,0.14953271028037382,0,0,0.0,0,1,0
1896,GBR,GAR,0,380,97,1,1,0.005270092226613966,0.003952569169960474,0.06455862977602109,0,0,0.0,0,0,0
1896,GBR,SHO,0,380,65,5,4,0.07816711590296496,0.0889487870619946,0.07547169811320754,0,0,0.0,0,0,0
1896,GBR,TEN,0,380,23,4,2,0.1640625,0.140625,0.109375,0,0,0.0,2,0,1
1896,GBR,WLF,0,380,10,2,2,0.007874015748031496,0.023622047244094488,0.023622047244094488,0,0,0.0,1,1,0
1896,GBR,WRG,0,380,5,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
1896,GER,ATH,0,380,106,14,9,0.02551984877126654,0.05860113421550094,0.05671077504725898,0,0,0.0,0,1,0
1896,GER,CRD,0,380,7,1,1,0.032679738562091505,0.058823529411764705,0.0392156862745098,0,0,0.0,0,1,0
1896,GER,CTR,0,380,34,9,5,0.15384615384615385,0.10576923076923077,0.10096153846153846,0,0,0.0,0,0,0
